trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
115,False,"{'a': 0.5, 'e': 0.64925}",25,0,11.346854997510993,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.6433}",30,0,-80.04404368611532,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.6373}",25,0,-82.74877554367332,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
118,False,"{'a': 0.5, 'e': 0.63125}",20,16,5.791473224729555,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.62515}",20,0,-45.47153800630756,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.619}",25,0,-46.053402351450714,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.6128}",20,0,-20.66048684913731,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.60655}",25,3,-49.553693627636584,"{0: 18, 1: 2, 2: 0, 3: 1, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.6002500000000001}",20,0,-30.396580289852604,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.5939000000000001}",25,2,-85.39563803969732,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 2}",1
125,False,"{'a': 0.5, 'e': 0.5875000000000001}",20,0,-64.79792956139276,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
126,False,"{'a': 0.5, 'e': 0.5810500000000002}",25,0,0.2247517432792261,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.5745500000000002}",30,0,1.9003385094728853,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.5680000000000003}",30,0,-148.75462142673655,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 3}",0
129,False,"{'a': 0.5, 'e': 0.5614000000000002}",30,9,25.926140582308282,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.5547500000000002}",25,15,-14.191658051567664,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.5480500000000001}",25,11,-107.41812294725042,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 3}",1
132,False,"{'a': 0.5, 'e': 0.5413000000000001}",25,0,-28.134758868570714,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.5345000000000001}",20,11,5.257039420421973,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.5276500000000001}",30,9,-49.085209040109895,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.52075}",25,15,-5.067872999107896,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.5138}",25,8,25.055499365547863,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.5068}",20,0,-37.864222570152506,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.49975}",25,19,-11.586591693885834,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.49265000000000003}",25,13,-78.99333169891005,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
140,False,"{'a': 0.5, 'e': 0.48550000000000004}",20,12,-8.822496459926535,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.47830000000000006}",25,3,-1.3864856577348503,"{0: 19, 1: 2, 2: 0, 3: 1, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.4710500000000001}",25,6,-92.83589702100129,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 2}",1
143,False,"{'a': 0.5, 'e': 0.4637500000000001}",25,0,-91.6453087808047,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
144,False,"{'a': 0.5, 'e': 0.4564000000000001}",25,0,-27.890447870401236,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.44900000000000007}",25,5,-14.299286811882245,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.44155000000000005}",20,1,-3.951388534971192,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.43405000000000005}",30,5,16.094692531397282,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.42650000000000005}",20,3,-36.18219127664303,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
149,False,"{'a': 0.5, 'e': 0.41890000000000005}",20,0,-6.2476848675487116,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.41125000000000006}",25,8,-6.364862643941117,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.4035500000000001}",35,20,-7.077654233671966,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.3958000000000001}",20,0,-23.894430476561656,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.3880000000000001}",20,0,5.649385278392202,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.3801500000000001}",20,8,21.774083271423564,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.3722500000000001}",25,0,-48.035001989902575,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.36430000000000007}",20,0,-21.464980356321576,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.35630000000000006}",20,7,-27.554135317074667,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.34825000000000006}",20,10,-7.783805281389146,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.34015000000000006}",25,14,1.2326691026000343,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.3320000000000001}",20,14,-0.8737505795489295,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.3238000000000001}",20,12,15.73092299285365,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
